Bitcoin (BTC),"$ 3,807.08","{28,57,54,73,33,2,4,4,1,4,0,26,100,8}","17,572,912","$ 55,367,514",5.29 %,"$ 66,901,629,031",,$ 0.00
Ethereum (ETH),$ 133.30,"{60,67,78,100,47,24,21,16,17,10,0,4,62,8}","105,150,742","$ 20,235,905",9.88 %,"$ 14,009,252,272",,$ 0.00
Ripple (XRP),$ 0.30,"{77,79,73,100,54,90,53,30,52,48,37,81,87,0}","41,432,141,931","$ 12,135,691",2.29 %,"$ 12,630,328,794",,$ 0.00
EOS (EOS),$ 3.60,"{59,67,73,94,56,28,24,30,32,28,28,0,100,44}","1,036,067,904","$ 26,688,748",21.40 %,"$ 3,619,861,785",,$ 0.00
Litecoin (LTC),$ 53.56,"{33,33,32,36,9,0,0,2,12,20,25,34,100,68}","60,773,846","$ 14,037,446",16.17 %,"$ 3,255,561,809",,$ 0.00
Bitcoin Cash (BCH),$ 127.87,"{83,82,89,100,51,42,33,29,27,25,22,0,29,16}","17,656,100","$ 2,961,156",2.37 %,"$ 2,230,233,271",,$ 0.00
Binance Coin (BNB),$ 14.01,"{16,24,21,18,12,0,3,10,27,38,43,35,84,100}","141,175,490",$ 0,10.22 %,"$ 2,133,087,405",,$ 0.00
Stellar (XLM),$ 0.08,"{70,76,82,100,35,24,21,14,19,18,21,0,68,18}","19,212,912,981","$ 2,794,584",3.51 %,"$ 1,584,853,148",,$ 0.00
TRON (TRX),$ 0.02,"{76,85,84,100,78,63,63,56,50,32,18,0,78,38}","66,682,072,191","$ 4,137,676",6.75 %,"$ 1,505,858,386",,$ 0.00
Bitcoin SV (BSV),$ 64.47,"{40,40,41,48,50,96,100,67,59,56,51,0,76,39}","17,654,998","$ 1,678,774",2.92 %,"$ 1,152,638,781",,$ 0.00
Cardano (ADA),$ 0.04,"{85,74,81,100,58,43,40,43,42,39,33,0,54,28}","25,927,070,538","$ 294,249",1.80 %,"$ 1,063,396,222",,$ 0.00
Monero (XMR),$ 47.94,"{53,59,77,100,71,18,15,20,18,10,20,4,0,17}","16,835,893","$ 125,329,867",36.27 %,"$ 804,729,373",,$ 0.00
Dash (DASH),$ 78.98,"{83,81,100,71,49,54,34,38,54,55,59,0,9,19}","8,675,483","$ 1,110,048,657",344.83 %,"$ 695,843,307",,$ 0.00
Maker (MKR),$ 677.31,"{0,18,40,87,47,40,27,29,41,39,29,15,100,43}","1,000,000",$ 0,0.02 %,"$ 665,011,161",,$ 0.00
NEO (NEO),$ 9.68,"{16,15,38,100,73,51,37,32,28,25,16,0,70,99}","65,000,000","$ 2,786,459",17.64 %,"$ 629,536,236",,$ 0.00
Ethereum Classic (ETC),$ 4.17,"{68,78,92,100,48,23,31,28,22,24,25,0,76,13}","109,316,175","$ 649,402",15.44 %,"$ 451,716,605",,$ 0.00
NEM (XEM),$ 0.04,"{27,40,62,100,50,27,36,24,22,23,19,20,25,0}","8,999,999,999","$ 144,291",0.90 %,"$ 368,992,738",,$ 0.00
Zcash (ZEC),$ 48.78,"{85,88,89,100,91,74,76,65,59,54,56,0,99,24}","6,031,713","$ 377,824",32.22 %,"$ 293,312,168",,$ 0.00
Ontology (ONT),$ 0.90,"{0,18,57,100,96,81,55,66,63,60,55,25,73,63}","324,286,568",$ 0,11.00 %,"$ 292,939,420",,$ 0.00
Waves (WAVES),$ 2.56,"{65,97,100,76,56,26,23,24,31,30,22,6,29,0}","100,000,000","$ 1,082,723",4.35 %,"$ 255,625,470",,$ 0.00
USD Coin (USDC),$ 1.03,"{9,19,8,25,32,26,22,16,12,17,16,0,100,37}","236,602,350",$ 0,7.64 %,"$ 244,046,077",,$ 0.00
BatCoin (BAT),$ 0.19,"{3,5,2,3,0,45,40,37,43,64,66,63,63,100}","1,240,566,787","$ 320,981",0.33 %,"$ 243,605,799",,$ 0.00
VeChain (VET),$ 0.00,"{40,81,100,93,52,60,69,65,62,59,48,5,52,0}","55,454,734,800","$ 226,556",5.10 %,"$ 233,309,682",,$ 0.00
Basic Attention Token (BAT),$ 0.17,"{2,0,0,0,3,81,74,57,60,94,97,74,100,89}","1,240,566,787","$ 877,708",8.94 %,"$ 213,445,250",,$ 0.00
True USD (TUSD),$ 1.02,"{6,19,0,22,36,18,23,14,13,18,15,14,100,38}","202,619,765",$ 0,25.05 %,"$ 208,398,095",,$ 0.00
,,,,,,,Total:,$ 0.00
Bitcoin (BTC),"$ 3,807.08","{28,57,54,73,33,2,4,4,1,4,0,26,100,8}","17,572,912","$ 55,367,514",5.29 %,"$ 66,901,629,031",,$ 0.00
Ethereum (ETH),$ 133.30,"{60,67,78,100,47,24,21,16,17,10,0,4,62,8}","105,150,742","$ 20,235,905",9.88 %,"$ 14,009,252,272",,$ 0.00
